"Year","State","AVG_AGE"
2009,"Maine",40.1926221705058
2010,"Maine",40.6727012647949
2011,"Maine",41.0405258894072
2012,"Maine",41.1884957176992
2013,"Maine",41.6381297325458
2007,"Maryland",36.8159927551606
2008,"Maryland",37.1335636894155
2009,"Maryland",37.1721236576402
2010,"Maryland",37.4761400916906
2011,"Maryland",37.6834015952195
2012,"Maryland",37.8711814284255
2013,"Maryland",38.0635503154594
2007,"Massachusetts",38.1802778555154
2008,"Massachusetts",38.0902799290917
2009,"Massachusetts",38.3954480315494
2010,"Massachusetts",38.6111905989916
2011,"Massachusetts",38.8294732658767
2012,"Massachusetts",38.9878467875508
2013,"Massachusetts",39.1631943406849
2007,"Michigan",37.3546768399998
2008,"Michigan",37.5203914220554
2009,"Michigan",37.897311932413
2010,"Michigan",38.2313566063894
2011,"Michigan",38.4605506153336
2012,"Michigan",38.7556807603892
2013,"Michigan",38.901561114602
2007,"Minnesota",37.0402547627078
2008,"Minnesota",37.1255438048438
2009,"Minnesota",37.2387561085144
2010,"Minnesota",37.4571625267579
2011,"Minnesota",37.6432339400407
2012,"Minnesota",37.8983833658137
2013,"Minnesota",38.0629433729738
2007,"Mississippi",35.9397444484606
2008,"Mississippi",36.128281729711
2009,"Mississippi",36.1401245123638
2010,"Mississippi",36.6208614979751
2011,"Mississippi",36.8178832249123
2012,"Mississippi",36.8711354988365
2013,"Mississippi",37.2570009364113
2007,"Missouri",37.3909836239871
2008,"Missouri",37.5828812987336
2009,"Missouri",37.6006411605356
2010,"Missouri",37.958455403069
2011,"Missouri",38.1493022096639
2012,"Missouri",38.3203483633644
2013,"Missouri",38.467386842629
2007,"Montana",38.2990861930906
2008,"Montana",37.9527681303233
2009,"Montana",38.6308501942073
2010,"Montana",39.1119449226863
2011,"Montana",39.1925718218512
2012,"Montana",39.6410264828517
2013,"Montana",39.4595538656278
2007,"Nebraska",36.4902215803143
