"Year","State","WHITE_PCT"
2003,"New Mexico",70.2083958078106
2004,"New Mexico",70.6894043246599
2005,"New Mexico",68.9773472285454
2000,"New York",70.0215954953782
2001,"New York",69.3541264159214
2002,"New York",68.5746951260646
2003,"New York",68.6612812417195
2004,"New York",67.7129707233593
2005,"New York",67.1820132017353
2000,"North Carolina",72.9116391645941
2001,"North Carolina",72.4766683265363
2002,"North Carolina",71.8915498927687
2003,"North Carolina",71.9014576552309
2004,"North Carolina",72.6032245598201
2005,"North Carolina",71.3227714212736
2000,"North Dakota",91.1611404324252
2001,"North Dakota",92.1855685968896
2002,"North Dakota",91.8847348196216
2003,"North Dakota",92.1682238081794
2004,"North Dakota",91.7125232289799
2005,"North Dakota",90.5685896599862
2000,"Ohio",86.2326778400579
2001,"Ohio",85.3635035195629
2002,"Ohio",84.9796389941624
2003,"Ohio",84.9020928891356
2004,"Ohio",84.5520835505754
2005,"Ohio",84.2485454488361
2000,"Oklahoma",74.884665200325
2001,"Oklahoma",75.9455261286988
2002,"Oklahoma",76.5363077246291
2003,"Oklahoma",76.1089721661072
2004,"Oklahoma",75.3333770978389
2005,"Oklahoma",75.7418860900986
2000,"Oregon",90.3705807531421
2001,"Oregon",88.0307468029649
2002,"Oregon",86.8452196738264
2003,"Oregon",87.8674107713627
2004,"Oregon",87.6247902337632
2005,"Oregon",86.7804461878132
2000,"Pennsylvania",86.6134542966509
2001,"Pennsylvania",85.7169147414445
2002,"Pennsylvania",85.3658905083242
2003,"Pennsylvania",85.1340020238672
2004,"Pennsylvania",84.8140063028664
2005,"Pennsylvania",84.6543377938418
2000,"Rhode Island",84.6913775152328
2001,"Rhode Island",85.6697663566977
2002,"Rhode Island",84.7372138282164
2003,"Rhode Island",85.1592177370526
2004,"Rhode Island",83.8056242900207
2005,"Rhode Island",83.3059449289837
2000,"South Carolina",68.4794343464166
2001,"South Carolina",67.1653790674194
2002,"South Carolina",67.093347539804
2003,"South Carolina",66.8884757167986
2004,"South Carolina",67.9643128617447
2005,"South Carolina",67.2825036445542
2000,"South Dakota",95.1232439184875
2001,"South Dakota",93.0845861356543
2002,"South Dakota",94.311324479516
2003,"South Dakota",94.54367925978
2004,"South Dakota",94.0083346819874
2005,"South Dakota",88.3117571032057
2000,"Tennessee",81.3949081621473
2001,"Tennessee",80.5768329504683
2002,"Tennessee",80.1134575522504
2003,"Tennessee",79.8392538191571
2004,"Tennessee",80.0143022133955
2005,"Tennessee",79.5939349685946
2000,"Texas",75.7171705644
2001,"Texas",72.0890267615295
2002,"Texas",73.1020820395185
2003,"Texas",73.0459431846692
2004,"Texas",74.1154493903519
2005,"Texas",71.8497428691723
2000,"Utah",92.3025381400564
2001,"Utah",90.8581861081642
2002,"Utah",90.1944363034474
2003,"Utah",90.2552223263789
2004,"Utah",90.8310037319023
2005,"Utah",89.8436840501943
2000,"Vermont",97.3388401888065
2001,"Vermont",96.9514840770461
2002,"Vermont",96.5303628911796
2003,"Vermont",96.5259579645426
2004,"Vermont",96.639872667457
2005,"Vermont",96.8110557065017
2000,"Virginia",73.397442343891
2001,"Virginia",73.0214192493881
2002,"Virginia",72.6627899157284
2003,"Virginia",72.6832771268328
2004,"Virginia",72.6768542657524
2005,"Virginia",71.9172423741075
2000,"Washington",81.1572679749741
2001,"Washington",81.4671920230761
2002,"Washington",80.8156383823645
2003,"Washington",81.3898418972728
2004,"Washington",80.9851062165178
2005,"Washington",81.0186485857092
2000,"West Virginia",95.1240190848124
2001,"West Virginia",95.471350456806
2002,"West Virginia",95.0995037163081
2003,"West Virginia",95.2129465144435
2004,"West Virginia",95.0526136368767
